from,to
dim_68,dim_87
dim_74,dim_94
dim_24,dim_99
dim_35,dim_94
dim_29,dim_60
dim_80,dim_89
dim_22,dim_27
dim_25,dim_73
dim_16,dim_55
dim_8,dim_58
dim_6,dim_96
dim_6,dim_26
dim_1,dim_22
dim_13,dim_31
dim_28,dim_38
dim_40,dim_55
dim_3,dim_42
dim_24,dim_53
dim_55,dim_7
dim_5,dim_78
dim_3,dim_23
dim_59,dim_3
dim_2,dim_89
dim_29,dim_72
dim_42,dim_36
dim_27,dim_95
dim_20,dim_21
dim_11,dim_41
dim_42,dim_18
dim_1,dim_2
dim_38,dim_1
dim_17,dim_87
dim_69,dim_58
dim_37,dim_62
dim_31,dim_35
dim_100,dim_73
dim_22,dim_45
dim_59,dim_30
dim_27,dim_10
dim_95,dim_5
dim_3,dim_46
dim_20,dim_86
dim_31,dim_90
dim_34,dim_93
dim_21,dim_85
dim_65,dim_67
dim_18,dim_56
dim_45,dim_97
dim_50,dim_98
dim_38,dim_96
dim_96,dim_26
dim_61,dim_79
dim_25,dim_64
dim_97,dim_57
dim_100,dim_57
dim_19,dim_80
dim_10,dim_16
dim_89,dim_30
dim_4,dim_68
dim_97,dim_78
dim_14,dim_29
dim_42,dim_88
dim_48,dim_74
dim_2,dim_4
dim_14,dim_65
dim_97,dim_40
dim_42,dim_43
dim_56,dim_71
dim_71,dim_19
dim_80,dim_28
dim_43,dim_15
dim_55,dim_9
dim_9,dim_8
dim_2,dim_21
dim_6,dim_32
dim_85,dim_76
dim_97,dim_100
dim_54,dim_85
dim_90,dim_61
dim_92,dim_61
dim_81,dim_14
dim_60,dim_72
dim_92,dim_79
dim_53,dim_99
dim_2,dim_29
dim_42,dim_24
dim_2,dim_83
dim_5,dim_7
dim_74,dim_38
dim_59,dim_54
dim_14,dim_13
dim_13,dim_12
dim_54,dim_13
dim_81,dim_8
dim_43,dim_20
dim_20,dim_11
dim_49,dim_11
dim_84,dim_15
dim_100,dim_84
dim_70,dim_18
dim_59,dim_70
dim_6,dim_48
